EAN	Offer_id	Titel	"Günstigster Gesamtpreis neu"	"Günstigster Gesamtpreis gebraucht"	"Ihr Gesamtpreis"	"Differenz zu neu absolut"	"Differenz zu neu %"	"Differenz zu gebraucht absolut"	"Differenz zu gebraucht %"	"Zustand des Angebots"
5901730802160	83-208-17	"83-208-17 EVENT Weiß Couchtisch Beistelltisch Wohnzimmertisch Lift Verstellung & ausziehbar auf 150 cm"	199,00	0,00	243,90	44,90	18,41	243,90	100,00	new
5906598659680	83-212-17	"Couchtisch 16776 Wohnzimmertisch Tisch Glastisch Weiß"	87,00	0,00	128,90	41,90	32,51	128,90	100,00	new
5901730806663	83-694-68	"83-694-68 MOJITO Eiche Sonoma Sägerau Nb. / weiß matt Bartisch Stehtisch Bistrotisch Küchentisch Anstelltisch ca. 115 x 103 x 50 cm"	96,90	0,00	136,90	40,00	29,22	136,90	100,00	new
5901730806984	83-743-07	"Couchtisch Montreal Beistelltisch Wohnzimmertisch Tisch Eiche massiv geölt"	199,00	0,00	236,90	37,90	16,00	236,90	100,00	new
4038889025032	39-391-17	"PRIMUS Bürotisch Schreibtisch Computertisch Tisch Büro Weiß"	138,00	0,00	174,90	36,90	21,10	174,90	100,00	new
4250314547470	20-H9-GV-03	"Mediana Bank Grau/Haveleiche Cognac"	153,00	0,00	189,90	36,90	19,43	189,90	100,00	new
5901738011991	58-813-13	"58-813-13 HAGEN 3 Weiß Hochglanz Kleiderschrank Jugendzimmerschrank Stauraumschrank ca. 135 cm"	329,00	0,00	365,90	36,90	10,08	365,90	100,00	new
5901730803655	83-502-66	"83-502-66 HARRISON Eiche Sonoma Sägerau Nb. Couchtisch Beistelltisch Wohnzimmertisch mit Schubkasten ca. 100 x 60 cm"	84,95	0,00	120,90	35,95	29,74	120,90	100,00	new
5901730807639	83-747-07	"Couchtisch Quebec Beistelltisch Wohnzimmertisch Tisch Eiche massiv geölt"	325,00	0,00	359,90	34,90	9,70	359,90	100,00	new
5901730800739	83-188-66	"Couchtisch 16777 Wohnzimmertisch Tisch Glastisch Eiche Sonoma"	72,00	0,00	105,90	33,90	32,01	105,90	100,00	new
4250314530847	29-D0-DD-02	"Couchtisch BONANZA Beistelltisch Wohnzimmertisch shabby retro"	171,00	0,00	174,90	3,90	2,23	174,90	100,00	new
5706887858769	8041961	"Prima Rollcontainer Esche Schwarz"	142,00	0,00	171,90	29,90	17,39	171,90	100,00	new
5901738017962	58-796-66	"58-796-66 KARL Eiche Sägerau Nb. Kleiderschrank Drehtürenschrank Stauraumschrank Spiegel 120 cm"	219,00	0,00	246,90	27,90	11,30	246,90	100,00	new
5901738007277	58-727-A7	"58-727-A7 MATCH 2 Weiß / Lava Schwebetürenschrank Schiebetürenschrank Kleiderschrank Stauraumschrank ca. 270 cm"	549,95	0,00	575,80	25,85	4,49	575,80	100,00	new
4250826303113	64-147-65-R	"ANTARA Ecksofa mit Schlaffunktion Couch Schlafsofa Sofa Schwarz, Ausführung:Rechts"	923,00	0,00	1145,90	222,90	19,45	1145,90	100,00	new
4250826309702	64-147-40-R	"ANTARA Ecksofa mit Schlaffunktion Couch Schlafsofa Sofa Schlamm/Anthrazit, Ausführung:Rechts"	923,00	0,00	1145,90	222,90	19,45	1145,90	100,00	new
5906598659024	83-188-17	"Couchtisch 16778 Wohnzimmertisch Tisch Glastisch Weiß"	72,00	0,00	94,90	22,90	24,13	94,90	100,00	new
5901738013674	22-229-H2	"22-229-H2 CAPRI Wildeiche Nb. / weiß Bettanlage Doppelbett Ehebett mit Fussbank / Stauraumbox inkl. Nachtkommoden"	599,95	0,00	798,90	198,95	24,90	798,90	100,00	new
4250314519156	30-32-WM-80	"RENO 1 Garderoben Set Komplettset Flur Komplettgarderobe Weiß/Grau"	856,00	0,00	1048,90	192,90	18,39	1048,90	100,00	new
4250314547302	3F-22-HW-80	"PLUS 1 Kompaktgarderobe Garderoben Set Komplettgarderobe Weiß/Silbereiche"	527,00	0,00	546,90	19,90	3,64	546,90	100,00	new
5901738021945	58-040-17	"Schwebetürenschrank FAST Kleiderschrank Schrank Schiebetürenschrank Schlafzimmer weiß 125cm"	239,95	0,00	258,80	18,85	7,28	258,80	100,00	new
5901738007505	45-262-B5	"Luca Lowboard TV-Möbel Fernsehmöbel Unterstellregal Jugendzimmer Pinie Weiß"	204,00	0,00	221,90	17,90	8,07	221,90	100,00	new
4061722042095	64-844-60L	"Melfi XL inklusive verstellbarer Arm & Rückenlehnen mit Schlaffunktion und Bettkasten"	869,79	0,00	1036,90	167,11	16,12	1036,90	100,00	new
4250314529421	1K-99-WH-80	"1K-99WH-80 SPIRIT Weiß Glanz / Sandeiche Nb. Wohnwand Anbauwand Wohnzimmerschrank Wohnverbau ca. 330 cm"	799,95	0,00	963,90	163,95	17,01	963,90	100,00	new
5901738015241	58-350-C0	"58-350-C0 CONTAINER grau Kleiderschrank Stauraumschrank Stahlschrank Drehtürenschrank ca. 237 cm"	579,95	0,00	740,90	160,95	21,72	740,90	100,00	new
5901738013049	58-229-K2	"58-229-K2 CAPRI Wildeiche Nb. / Basaltgrau Schwebetürenschrank Schiebetürenschrank Kleiderschrank Stauraumschrank 270 cm"	689,00	0,00	704,90	15,90	2,26	704,90	100,00	new
4038889050256	54-122-E5	"Spiegelschrank Bad TWO mit LED Beleuchtung Badspiegel Badschrank Spiegel grau Titan"	175,00	0,00	189,90	14,90	7,85	189,90	100,00	new
4250826386734	64-690-404	"64-690-40 LUIGI Uran 02 grau Sofa Klappsofa Schlafsofa Funktionssofa Küchensofa ca. 211 cm"	489,95	0,00	603,80	113,85	18,86	603,80	100,00	new
4061722023506	64-776-604	"64-776-66 JENNY Grau anthrazit Schlafsofa Bettsofa Couch Sofa Funktionssofa Schlaffunktion ca. 203 cm"	499,95	0,00	610,90	110,95	18,16	610,90	100,00	new
4250314530854	29-D0-DD-01	"Esstisch BONANZA Esszimmertisch Dinnertisch Küchentisch Tisch Sonoma shabby retro"	325,00	0,00	336,90	11,90	3,53	336,90	100,00	new
5901738026476	58-031-87	"58-031-87 PULS Weiß / Bauchbinde Eiche Sägerau Nb. Kleiderschrank Schiebetürenschrank Schwebetürenschrank ca. 170 cm"	279,95	0,00	290,80	10,85	3,73	290,80	100,00	new
5901738013582	38-230-H2	"38-230-H2 CAPRI Wildeiche Nb. / weiss Kommde, Sideboard passend zu Schlafzimmer, Highbaord mit 2 Türen und 4 Schublade ca. 150 cm breit"	255,00	0,00	256,80	1,80	0,70	256,80	100,00	new
4250314546626	10-H9-WH-80	"Mediana Wohnwand inkl. LED-Beleuchtung Weiß/Artisan Eiche"	944,00	0,00	944,90	0,90	0,10	944,90	100,00	new
4250314547500	10-H9-GV-82	"Mediana Wohnwand inkl. LED-Beleuchtung Grau/Haveleiche Cognac"	834,00	0,00	834,90	0,90	0,11	834,90	100,00	new
4250314547517	10-H9-GV-83	"Mediana Wohnwand inkl. LED-Beleuchtung Grau/Haveleiche Cognac"	966,00	0,00	966,90	0,90	0,09	966,90	100,00	new
5901730807660	83-746-07	"Couchtisch Edmonton Beistelltisch Wohnzimmertisch Tisch in Eiche massiv geölt"	307,00	0,00	307,90	0,90	0,29	307,90	100,00	new
5901730808988	83-710-94	"Robinson Esstisch ausziehbar 160 -210 cm"	863,00	0,00	863,90	0,90	0,10	863,90	100,00	new
5901738002951	50-028-68	"Stefan Doppelbett 180x200cm Eiche Sonoma / Weiß"	372,00	0,00	372,90	0,90	0,24	372,90	100,00	new
4250314529353	10-A1-WW-81	"Wohnwand FUN PLUS Weiß / Eiche Altholz"	712,00	0,00	712,80	0,80	0,11	712,80	100,00	new
4250314530915	30-64-DD-12	"Kommode BONANZA Sideboard Kombikommode Wohnzimmer Schlafzimmer Flur Driftwood Nachbildung"	296,00	0,00	296,80	0,80	0,27	296,80	100,00	new
4250314544271	10-H4-WW-80	"Funny Plus Wohnwand inkl. LED-Beleuchtung Weiß hochglanz"	725,00	0,00	725,80	0,80	0,11	725,80	100,00	new
4250314544301	10-H4-WW-83	"Funny Plus Wohnwand inkl. LED-Beleuchtung Weiß hochglanz"	736,00	0,00	736,80	0,80	0,11	736,80	100,00	new
4250314544400	10-H4-HH-80	"TV-Wohnlösung Funny Plus Artisan Eiche Nb. Schwarz 4-teilig Mit Beleuchtung MDF"	772,00	0,00	772,80	0,80	0,10	772,80	100,00	new
4250314544431	10-H4-HH-83	"Funny Plus Wohnwand inkl. LED-Beleuchtung Artisan Eiche"	790,00	0,00	790,80	0,80	0,10	790,80	100,00	new
4250314544448	20-H4-WW-02	"Couchtisch Funny Plus Mit 2 Schubkästen 2 Offene Fächer Weiß Hochglanz MDF Tisch"	190,00	0,00	190,80	0,80	0,42	190,80	100,00	new
4250314544455	20-H4-HH-02	"Funny Plus Couchtisch Artisan Eiche"	196,00	0,00	196,80	0,80	0,41	196,80	100,00	new
4250314546473	10-A1-MM-80	"Fun Plus II Wohnwand inkl. LED-Beleuchtung Grau/Braun/Abs. Eiche Altholz"	736,00	0,00	736,80	0,80	0,11	736,80	100,00	new
4250314546480	10-A1-MM-81	"Fun Plus II Wohnwand inkl. LED-Beleuchtung Grau/Braun/Abs. Eiche Altholz"	710,00	0,00	710,80	0,80	0,11	710,80	100,00	new
4250314547456	20-H9-GV-01	"Mediana Esstisch Grau/Haveleiche Cognac"	404,00	0,00	404,80	0,80	0,20	404,80	100,00	new
4250314547487	10-H9-GV-80	"Mediana Wohnwand inkl. LED-Beleuchtung Grau/Haveleiche Cognac"	944,00	0,00	944,80	0,80	0,08	944,80	100,00	new
