2021-04-19 | 09:00:00.008 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T09:00:00.007
2021-04-19 | 09:05:58.005 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T09:05:58.005
2021-04-19 | 09:05:58.005 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T09:05:58.005
2021-04-19 | 09:05:59.690 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T09:05:59.690
2021-04-19 | 09:05:59.691 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T09:05:59.691
2021-04-19 | 09:36:26.773 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T09:36:26.773
2021-04-19 | 09:36:26.781 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T09:36:26.781
2021-04-19 | 09:36:26.781 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | start export jobs.....
2021-04-19 | 09:36:26.787 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | end export jobs.....
2021-04-19 | 09:36:26.787 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T09:36:26.787
2021-04-19 | 09:36:29.270 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T09:36:29.270
2021-04-19 | 09:36:29.270 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job started to update Stock, Delivery Time and Preorder Information for all article and article Sets at --2021-04-19T09:36:29.270
2021-04-19 | 09:36:35.068 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job ended to update Stock, Delivery Time and Preorder Information for all article and article Sets at---2021-04-19T09:36:35.068
2021-04-19 | 09:36:35.068 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Pushing Delivery time to Magento
2021-04-19 | 09:36:35.068 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T09:36:35.068
2021-04-19 | 10:18:33.509 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T10:18:33.509
2021-04-19 | 10:18:33.516 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T10:18:33.516
2021-04-19 | 10:31:05.752 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T10:31:05.752
2021-04-19 | 10:31:05.755 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Delivery time has been pushed to Magento at--2021-04-19T10:31:05.755
2021-04-19 | 10:31:05.755 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | start export jobs.....
2021-04-19 | 10:31:05.760 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | end export jobs.....
2021-04-19 | 10:31:05.761 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T10:31:05.760
2021-04-19 | 11:06:17.609 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T11:06:17.609
2021-04-19 | 11:06:17.613 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T11:06:17.613
2021-04-19 | 11:06:17.613 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T11:06:17.613
2021-04-19 | 11:06:19.026 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T11:06:19.025
2021-04-19 | 11:06:19.026 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T11:06:19.026
2021-04-19 | 11:06:21.385 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T11:06:21.385
2021-04-19 | 11:06:21.385 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T11:06:21.385
2021-04-19 | 11:14:59.388 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T11:14:59.388
2021-04-19 | 11:14:59.391 | pool-10-thread-1     |  INFO | .a.c.ArticleMarkOrphanJob | end..runArticleMarkOrphanJob..2021-04-19T11:14:59.391
2021-04-19 | 11:14:59.972 | pool-10-thread-1     |  INFO | .a.c.ArticleMarkOrphanJob | end..runArticleMarkOrphanJob..2021-04-19T11:14:59.972
2021-04-19 | 11:14:59.972 | pool-10-thread-1     |  INFO | .a.c.UpdateMinMengeErpJob | start..runUpdateMinMengeErpJob...2021-04-19T11:14:59.972
2021-04-19 | 11:15:05.302 | pool-10-thread-1     |  INFO | .a.c.UpdateMinMengeErpJob | end..runUpdateMinMengeErpJob...2021-04-19T11:15:05.302
2021-04-19 | 11:15:05.305 | pool-10-thread-1     |  INFO | .a.c.UpdateTotalWeightJob | start..UpdateTotalWeightJob...2021-04-19T11:15:05.305
2021-04-19 | 11:15:09.675 | pool-10-thread-1     |  INFO | .a.c.UpdateTotalWeightJob | end..UpdateTotalWeightJob...2021-04-19T11:15:09.675
2021-04-19 | 11:15:09.675 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | start..runArticleTEMPAmazonSynchonizationJob...
2021-04-19 | 11:15:57.670 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | INVENTORY: FeedSubmissionId by CAOAmazonAbgleich: 83191018736
2021-04-19 | 11:15:57.678 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | PRICE: FeedSubmissionId by CAOAmazonAbgleich: 83192018736
2021-04-19 | 11:15:57.678 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | PRODUCT_IMAGE: FeedSubmissionId by CAOAmazonAbgleich: 83193018736
2021-04-19 | 11:15:57.678 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | PRODUCT: FeedSubmissionId by CAOAmazonAbgleich: 83194018736
2021-04-19 | 11:16:05.963 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | INVENTORY: FeedSubmissionId by CAOAmazonAbgleich: 83195018736
2021-04-19 | 11:16:05.963 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | PRICE: FeedSubmissionId by CAOAmazonAbgleich: 83196018736
2021-04-19 | 11:16:05.963 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | PRODUCT: FeedSubmissionId by CAOAmazonAbgleich: 83197018736
2021-04-19 | 11:16:05.965 | pool-10-thread-1     |  INFO | PAmazonSynchronizationJob | end..runArticleTEMPAmazonSynchonizationJob...
2021-04-19 | 11:16:05.966 | pool-10-thread-1     |  INFO | EMPEBaySynchronizationJob | start..runArticleTEMPEbaySynchronizationJob...
2021-04-19 | 11:27:12.044 | pool-10-thread-1     |  INFO | EMPEBaySynchronizationJob | end..runArticleTEMPEbaySynchronizationJob...
2021-04-19 | 11:27:12.045 | pool-10-thread-1     |  INFO | EMPEBaySynchronizationJob | start..runArticleSetTEMPEbaySynchronizationJob...
2021-04-19 | 11:29:53.936 | pool-10-thread-1     |  INFO | EMPEBaySynchronizationJob | end..runArticleSetTEMPEbaySynchronizationJob...
2021-04-19 | 11:29:53.943 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job started to update Stock, Delivery Time and Preorder Information for all article and article Sets at --2021-04-19T11:29:53.942
2021-04-19 | 11:30:00.716 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job ended to update Stock, Delivery Time and Preorder Information for all article and article Sets at---2021-04-19T11:30:00.716
2021-04-19 | 11:30:00.716 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Pushing Delivery time to Magento
2021-04-19 | 11:30:00.716 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T11:30:00.716
2021-04-19 | 12:01:32.926 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T12:01:32.925
2021-04-19 | 12:01:32.929 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T12:01:32.929
2021-04-19 | 12:10:18.854 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T12:10:18.854
2021-04-19 | 12:10:18.854 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Delivery time has been pushed to Magento at--2021-04-19T12:10:18.854
2021-04-19 | 12:10:18.861 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | start export jobs.....
2021-04-19 | 12:10:18.866 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | end export jobs.....
2021-04-19 | 12:10:18.866 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T12:10:18.866
2021-04-19 | 12:12:46.829 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T12:12:46.829
2021-04-19 | 12:12:46.829 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T12:12:46.829
2021-04-19 | 12:12:46.838 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T12:12:46.838
2021-04-19 | 12:12:46.840 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T12:12:46.840
2021-04-19 | 12:12:46.842 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T12:12:46.842
2021-04-19 | 12:12:46.854 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T12:12:46.854
2021-04-19 | 13:00:00.042 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T13:00:00.041
2021-04-19 | 13:22:13.315 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T13:22:13.315
2021-04-19 | 13:22:13.321 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T13:22:13.321
2021-04-19 | 13:22:13.321 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T13:22:13.321
